Company Name,Screener Company Keyword,Market Leader Keyword
Reliance Industries Ltd,RELIANCE,RELIANCE
Chennai Petroleum Corporation Ltd,CHENNPETRO,RELIANCE
MRPL,MRPL,RELIANCE
Reliance Power Ltd,RPOWER,TATAPOWER
Adani Power,ADANIPOWER,TATAPOWER
Vedanta,VEDL,HINDALCO
MOIL Ltd,MOIL,HINDALCO
Jindal Steel,JINDALSTEL,JINDALSTEL
Infosys,INFY,TCS
DLF,DLF,GODREJPROP
NBCC (India) Ltd,NBCC,GODREJPROP
Polycab,POLYCAB,POLYCAB
Zee Entertainment Enterprises Ltd,ZEEL,ZEEL
Balrampur Chini Mills,BALRAMCHIN,EIDPARRY
Gujarat Ambuja,GAEL,GAEL
Delta Corp,DELTACORP,DELTACORP
Birlasoft Ltd,BSOFT,LTTS
KPIT Technologies,KPITTECH,LTTS
NIIT Technologies (Coforge),COFORGE,LTTS
Persistent Systems,PERSISTENT,LTTS
APL Apollo Tubes Ltd,APLAPOLLO,JSWSTEEL
Gujarat Gas,GUJGASLTD,GUJGASLTD
Akzo Nobel India Ltd,AKZOINDIA,ASIANPAINT
Suven Pharmaceuticals,SUVENPHAR,SUNPHARMA
Aegis Logistics Ltd,AEGISCHEM,AEGISCHEM
Allcargo Global Logistics,ALLCARGO,BLUEDART
Blue Dart Express,BLUEDART,BLUEDART
TCI Express Ltd,TCIEXP,BLUEDART
VRL Logistics Ltd,VRLLOG,BLUEDART
Bata India Ltd,BATAINDIA,RELAXO
Central Depository Services,CDSL,CDSL
EPL Ltd,EPL,MOLDTKPAC
JK Paper Ltd,JKPAPER,CENTURYTEX
Radico Khaitan Ltd,RADICO,MCDOWELL-N
VIP Industries Ltd,VIPIND,VIPIND
Welspun Corp Ltd,WELCORP,RATNAMANI
Century Plyboards (India) Ltd,CENTURYPLY,GREENPLY
Greenply Industries Ltd,GREENPLY,GREENPLY
Finolex Industries,FINPIPE,ASTRAL
Kajaria Ceramics Ltd,KAJARIACER,KAJARIACER
Supreme Industries Ltd,SUPREMEIND,ASTRAL
AIA Engineering,AIAENG,BHARATFORG
Praj Industries Ltd,PRAJIND,PRAJIND
Balaji Amines Ltd,BALAMINES,ALKYLAMINE
GHCL Ltd,GHCL,PIDILITIND
PCBL,PCBL,PIDILITIND
Sumitomo Chemicals India Ltd,SUMICHEM,UPL
KNR Construction,KNRCON,SUNTECK
NCC Ltd,NCC,SUNTECK
PNC Infratech Ltd,PNCINFRA,SUNTECK
Amber Enterprises Ltd,AMBER,AMBER
Bajaj Electricals Ltd,BAJAJELEC,WHIRLPOOL
Blue Star Ltd,BLUESTARCO,VOLTAS
IndiaMART InterMESH,INDIAMART,NAUKRI
Quess Corp Ltd,QUESS,3MINDIA